All_models,TN,FP,FN,TP,LogLoss,Precision,Recall,Specificity,NPV,F1-score,P4-score
LogisticRegression_l2_lbfgs,719.0,0.0,316.0,0.0,11.004632339092772,0.0,0.0,1.0,0.305314,0.0,0.0
LogisticRegression_l1_liblinear,704.0,15.0,274.0,42.0,10.064363120246236,0.736842,0.132911,0.979138,0.280164,0.225201,0.35425
LogisticRegression_l2_liblinear,719.0,0.0,316.0,0.0,11.004632339092772,0.0,0.0,1.0,0.305314,0.0,0.0
LogisticRegression_l2_newton-cg,719.0,0.0,316.0,0.0,11.004632339092772,0.0,0.0,1.0,0.305314,0.0,0.0
LogisticRegression_l2_newton-ch,719.0,0.0,316.0,0.0,11.004632339092772,0.0,0.0,1.0,0.305314,0.0,0.0
LogisticRegression_l2_sag,719.0,0.0,316.0,0.0,11.004632339092772,0.0,0.0,1.0,0.305314,0.0,0.0
LogisticRegression_l1_saga,704.0,15.0,274.0,42.0,10.064363120246236,0.736842,0.132911,0.979138,0.280164,0.225201,0.35425
LogisticRegression_l2_saga,719.0,0.0,316.0,0.0,11.004632339092772,0.0,0.0,1.0,0.305314,0.0,0.0
Perceptron_l1,679.0,40.0,196.0,120.0,8.218649468436373,0.75,0.379747,0.944367,0.224,0.504202,0.633489
Perceptron_l2,719.0,0.0,313.0,3.0,10.900157981443156,1.0,0.009494,1.0,0.303295,0.018809,0.036775
RidgeClassifier_svd,719.0,0.0,313.0,3.0,10.900157981443156,1.0,0.009494,1.0,0.303295,0.018809,0.036775
RidgeClassifier_ch,719.0,0.0,313.0,3.0,10.900157981443156,1.0,0.009494,1.0,0.303295,0.018809,0.036775
RidgeClassifier_lsqr,719.0,0.0,313.0,3.0,10.900157981443156,1.0,0.009494,1.0,0.303295,0.018809,0.036775
RidgeClassifier_sc,719.0,0.0,313.0,3.0,10.900157981443156,1.0,0.009494,1.0,0.303295,0.018809,0.036775
RidgeClassifier_sag,719.0,0.0,313.0,3.0,10.900157981443156,1.0,0.009494,1.0,0.303295,0.018809,0.036775
RidgeClassifier_saga,719.0,0.0,313.0,3.0,10.900157981443156,1.0,0.009494,1.0,0.303295,0.018809,0.036775
RidgeClassifier_lbfgs,719.0,0.0,314.0,2.0,10.934982767326364,1.0,0.006329,1.0,0.303969,0.012579,0.024778
SGDClassifier_hinge,719.0,0.0,316.0,0.0,11.004632339092772,0.0,0.0,1.0,0.305314,0.0,0.0
SGDClassifier_ll,719.0,0.0,315.0,1.0,10.969807553209566,1.0,0.003165,1.0,0.304642,0.006309,0.012522
SGDClassifier_mh,712.0,7.0,280.0,36.0,9.994713548479828,0.837209,0.113924,0.990264,0.282258,0.200557,0.323224
SGDClassifier_perceptron,699.0,20.0,184.0,132.0,7.104256320173815,0.868421,0.417722,0.972184,0.208381,0.564103,0.685248
SGDClassifier_ei,719.0,0.0,316.0,0.0,11.004632339092772,0.0,0.0,1.0,0.305314,0.0,0.0
BernoulliNB,654.0,65.0,86.0,230.0,5.258542668363952,0.779661,0.727848,0.909597,0.116216,0.752864,0.81843
CategoricalNB,719.0,0.0,316.0,0.0,11.004632339092772,0.0,0.0,1.0,0.305314,0.0,0.0
ComplementNB,719.0,0.0,316.0,0.0,11.004632339092772,0.0,0.0,1.0,0.305314,0.0,0.0
GaussianNB,667.0,52.0,28.0,288.0,2.7859828706563983,0.847059,0.911392,0.927677,0.040288,0.878049,0.909563
MultinomialNB,719.0,0.0,316.0,0.0,11.004632339092772,0.0,0.0,1.0,0.305314,0.0,0.0
KNeighborsClassifier_u_bt,655.0,64.0,79.0,237.0,4.979944381298312,0.787375,0.75,0.910987,0.107629,0.768233,0.829584
KNeighborsClassifier_d_bt,660.0,59.0,73.0,243.0,4.596871736583057,0.804636,0.768987,0.917942,0.099591,0.786408,0.843311
KNeighborsClassifier_u_kdt,655.0,64.0,79.0,237.0,4.979944381298312,0.787375,0.75,0.910987,0.107629,0.768233,0.829584
KNeighborsClassifier_d_kdt,660.0,59.0,73.0,243.0,4.596871736583057,0.804636,0.768987,0.917942,0.099591,0.786408,0.843311
KNeighborsClassifier_u_b,655.0,64.0,79.0,237.0,4.979944381298312,0.787375,0.75,0.910987,0.107629,0.768233,0.829584
KNeighborsClassifier_d_b,660.0,59.0,73.0,243.0,4.596871736583057,0.804636,0.768987,0.917942,0.099591,0.786408,0.843311
